campaign_id,campaign_name,channel,start_date,end_date,budget_usd,target_audience,target_region,impressions,clicks,signups_attributed,spend_usd
CMP0001,Affiliate - Q2 2024,Affiliate,2022-05-22,2022-08-14,222608,K-Drama Fans,North America,1850207,133872,13781,207848.85
CMP0002,Affiliate - Q2 2022,Affiliate,2025-05-08,2025-07-19,335859,25-34 Young Professionals,EMEA,4140145,300331,29937,248658.47
CMP0003,Google Ads - Q4 2022,Google Ads,2024-10-31,2024-12-15,328942,50+ General,North America,99085,4589,198,283159.99
CMP0004,Organic - Q4 2025,Organic,2023-11-25,2024-02-20,238192,Sports Fans,EMEA,4485995,144067,10527,203479.53
CMP0005,Organic - Q1 2025,Organic,2023-11-16,2024-01-03,428264,50+ General,EMEA,2736994,175279,14127,409964.98
CMP0006,Affiliate - Q4 2024,Affiliate,2025-09-19,2025-10-31,284791,50+ General,North America,744232,41912,4475,238894.03
CMP0007,Referral - Q3 2023,Referral,2022-05-16,2022-08-07,44202,25-34 Young Professionals,APAC,1545787,55889,4488,36047.92
CMP0008,Google Ads - Q2 2026,Google Ads,2025-01-07,2025-02-21,383674,35-50 Families,LATAM,2792478,46390,2841,342186.94
CMP0009,Influencer - Q2 2026,Influencer,2022-11-15,2022-12-10,289427,25-34 Young Professionals,APAC,1612676,100429,5766,225735.4
CMP0010,Affiliate - Q1 2023,Affiliate,2022-05-29,2022-07-20,319185,35-50 Families,North America,587449,16667,1043,236813.09
CMP0011,Email - Q3 2023,Email,2024-04-12,2024-06-26,284859,Sports Fans,North America,3346644,252929,21547,240239.59
CMP0012,YouTube - Q3 2026,YouTube,2026-03-23,2026-04-25,279021,Sports Fans,LATAM,3377588,90748,9687,230210.97
CMP0013,Affiliate - Q1 2026,Affiliate,2025-03-09,2025-04-30,49830,Sports Fans,North America,638427,11870,776,38357.69
CMP0014,Organic - Q4 2023,Organic,2025-04-18,2025-05-17,281807,35-50 Families,LATAM,1442107,98319,4403,228335.12
CMP0015,Email - Q3 2026,Email,2025-02-08,2025-04-17,398481,K-Drama Fans,EMEA,1257172,26061,1137,322736.83
CMP0016,TV/OTT - Q2 2026,TV/OTT,2025-05-27,2025-07-19,155455,18-24 Students,North America,3314142,74729,7069,124091.75
CMP0017,Email - Q2 2023,Email,2024-03-22,2024-05-04,303404,35-50 Families,EMEA,3664963,190419,19357,246922.08
CMP0018,YouTube - Q4 2025,YouTube,2022-07-22,2022-08-26,20254,18-24 Students,North America,3648623,259852,7932,18344.51
CMP0019,YouTube - Q1 2024,YouTube,2025-08-20,2025-10-18,177012,35-50 Families,North America,4696868,111552,2973,139673.61
